Product Code,Product Name,Short Description ,List Price
Peplink Balance Series ,Peplink Balance Series,,
BPL-310-PRM,Balance 310,SME Grade Multi-Gigabit Dual WAN Router,$999.00
PRM-C-1Y,1-Year PrimeCare,For Balance 310 - includes IC2 subscription,$149.00
PRM-C-2Y,2-Year PrimeCare,For Balance 310 - includes IC2 subscription,$298.00
PRM-C-4Y,4-Year PrimeCare,For Balance 310 - includes IC2 subscription,$596.00
PCP-C-1Y,1-Year PrimeCare+,"For Balance 310 - includes IC2, 24/7 email ticket support, and AHR",$179.00
PCP-C-2Y,2-Year PrimeCare+,"For Balance 310 - includes IC2, 24/7 email ticket support, and AHR",$304.00
PCP-C-4Y,4-Year PrimeCare+,"For Balance 310 - includes IC2, 24/7 email ticket support, and AHR",$501.00
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN,$20.00 
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00 
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 2x OpenVPN WAN,$60.00 
LIC-VWAN,Virtual WAN Activation License,Activate Virtual WAN for Selected Models. ,$200.00
LIC-2VWAN,Virtual WAN Activation License,Activate 2x Virtual WAN for Selected Models. ,$400.00
LIC-3VWAN,Virtual WAN Activation License,Activate 3x Virtual WAN for Selected Models. ,$600.00
PVN-LC-20,SpeedFusion Peers License Key,Up to 50 SpeedFusion Peers,$999.00
SFN-LC-50,SpeedFusion Peers License Key,Up to 50 SpeedFusion Peers,"$1,499.00"
<Balance 310 Licenses & Warranties (click the + to open),,,
BPL-310-5GH-R-T-PRM ,BPL 310 5G (FirstNet Certified),Enterprise SD-WAN router for Medium Branches (FirstNet Certified),"$1,999.00"
BPL-310-FBR-5GH-T-PRM,BPL 310 Fiber 5G (FirstNet Certified),Enterprise SD-WAN router for Medium Branches (FirstNet Certified),"$1,999.00"
PRM-E-1Y,1-Year PrimeCare,For Balance 310 5G - PrimeCare,$249.00 
PRM-E-2Y,2-Year PrimeCare,For Balance 310 5G - PrimeCare,$498.00 
PRM-E-4Y,4-Year PrimeCare,For Balance 310 5G - PrimeCare,$996.00 
PCP-E-1Y,1-Year PrimeCare+,"For Balance 310 5G - includes IC2, 24/7 email ticket support, and AHR",$299.00 
PCP-E-2Y,2-Year PrimeCare+,"For Balance 310 5G - includes IC2, 24/7 email ticket support, and AHR",$508.00 
PCP-E-4Y,4-Year PrimeCare+,"For Balance 310 5G - includes IC2, 24/7 email ticket support, and AHR",$837.00 
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN,$20.00 
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00 
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 2x OpenVPN WAN,$60.00 
LIC-VWAN,Virtual WAN Activation License,Activate Virtual WAN for Selected Models. ,$200.00
LIC-2VWAN,Virtual WAN Activation License,Activate 2x Virtual WAN for Selected Models. ,$400.00
LIC-3VWAN,Virtual WAN Activation License,Activate 3x Virtual WAN for Selected Models. ,$600.00
<Balance 310 5G Licenses & Warranties (click the + to open),,,
BPL-580,Balance 580,Mid-sized Business Router,"$3,999.00"
FIPS-LC-B580,FIPS License,FIPS License for Balance 580,"$1,800.00"
SFN-LC-100,100 SF Bonding Keys,≤ 100 SpeedFusion Bonding peers for Balance 380/580,$999.00
ECP-BPL-580-1Y,1-Year EssentialCare+,"For Balance 580 - includes IC2 subscription, 24/7 email ticket support, and AHR",$999.00
ECP-BPL-580-2Y,2-Year EssentialCare+,"For Balance 580 - includes IC2 subscription, 24/7 email ticket support, and AHR","$1,698.00"
ECP-BPL-580-4Y,4-Year EssentialCare+,"For Balance 580 - includes IC2 subscription, 24/7 email ticket support, and AHR","$2,797.00"
SVL-711,1-Year EssentialCare ,For Balance 580 - includes IC2 subscription,$679.00
SVL-609,2-Year EssentialCare ,For Balance 580 - includes IC2 subscription,"$1,319.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<Balance 580 Licenses & Warranties (click the + to open),,,
BPL-135,Balance 1350,Business Router for Enterprise,"$7,999.00"
FIPS-LC-B1350,FIPS License,FIPS License for Balance 1350,"$3,600.00"
ECP-BPL-135-1Y,1-Year EssentialCare+,"For Balance 1350 - includes IC2, 24/7 email ticket support, and AHR","$1,999.00"
ECP-BPL-135-2Y,2-Year EssentialCare+,"For Balance 1350 - includes IC2, 24/7 email ticket support, and AHR","$3,398.00"
ECP-BPL-135-4Y,4-Year EssentialCare+,"For Balance 1350 - includes IC2, 24/7 email ticket support, and AHR","$5,597.00"
SVL-712,1-Year EssentialCare ,For Balance 1350 - includes IC2 subscription,"$1,359.00"
SVL-611,2-Year EssentialCare ,For Balance 1350 - includes IC2 subscription,"$2,639.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<Balance 1350 Licenses & Warranties (click the + to open),,,
BPL-1350-EC-PRM,Balance 1350 EC,Multi-WAN Router (8 GE Ports + 8 SFP Fiber Port) for Enterprise,"$8,499.00"
PRM-P-1Y,1-Year PrimeCare,For DOM-PRO-LR-5GN-PRM - includes IC2 subscription,"$1,299.00 "
PRM-P-2Y,2-Year PrimeCare,For DOM-PRO-LR-5GN-PRM - includes IC2 subscription,"$2,598.00 "
PRM-P-4Y,4-Year PrimeCare,For DOM-PRO-LR-5GN-PRM - includes IC2 subscription,"$5,196.00 "
PCP-P-1Y,1-Year PrimeCare+,"For DOM-PRO-LR-5GN-PRM - includes IC2, 24/7 email ticket support, and AHR","$1,559.00 "
PCP-P-2Y,2-Year PrimeCare+,"For DOM-PRO-LR-5GN-PRM - includes IC2, 24/7 email ticket support, and AHR","$2,650.00 "
PCP-P-4Y,4-Year PrimeCare+,"For DOM-PRO-LR-5GN-PRM - includes IC2, 24/7 email ticket support, and AHR","$4,365.00 "
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-VWAN,Virtual WAN Activation License,Activate 1x Virtual WAN,$200.00
LIC-2VWAN,2x Virtual WAN Activation License,Activate 2x Virtual WAN,$400.00
LIC-3VWAN,3x Virtual WAN Activation License,Activate 3x Virtual WAN,$600.00
LIC-10VWAN-MD,10x Virtual WAN Activation License,Activate 10x Virtual WAN,"$2,000.00"
<Balance 1350 EC Licenses & Warranties (click the + to open),,,
BPL-2500,Balance 2500,"12x GE WAN, 8x GE LAN","$15,999.00"
BPL-2500-SFP,Balance 2500 SFP,"12x GE WAN, 2x 10G SFP+ LAN","$15,999.00"
BPL-2500-2SFP,Balance 2500 2SFP,"4x GE WAN, 2x 10G SFP+ WAN, 2x 10G SFP+ LAN","$15,999.00"
BPL-2500-EC,Balance 2500 EC,"16x GE WAN/LAN, 4x 10G SFP+ WAN/LAN, 1x USB WAN","$18,999.00 "
ECP-BPL-2500-1Y,1-Year EssentialCare+,"For Balance 2500 / 2500 EC - includes IC2, 24/7 email ticket support, and AHR","$3,999.00"
ECP-BPL-2500-2Y,2-Year EssentialCare+,"For Balance 2500 / 2500 EC - includes IC2, 24/7 email ticket support, and AHR","$6,798.00"
ECP-BPL-2500-4Y,4-Year EssentialCare+,"For Balance 2500 / 2500 EC - includes IC2, 24/7 email ticket support, and AHR","$11,197.00"
SVL-730,1-Year EssentialCare ,For Balance 2500 / 2500 EC - includes IC2 subscription,"$2,719.00"
SVL-612,2-Year EssentialCare ,For Balance 2500 / 2500 EC - includes IC2 subscription,"$5,279.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-25VWAN-LG,Virtual WAN Activation License,Activate 25 x Virtual WAN for BPL-2500-EC,"$4,999.00"
<Balance 2500 Licenses & Warranties (click the + to open),,,
BPL-5000-EC-40G-PRM,Balance 5000 EC (40G),"Extreme Performance Multi-WAN Router 2x 1TB SSD, 70 Gbps throughput","$29,999.00"
BPL-5000-EC-100G-PRM,Balance 5000 EC (100G),"Extreme Performance Multi-WAN Router 2x 1TB SSD, 110 Gbps throughput","$32,999.00"
PRM-W-1Y,1-Year PrimeCare,For Balance 5000 EC - includes IC2 subscription,"$3,999.00"
PRM-W-2Y,2-Year PrimeCare,For Balance 5000 EC - includes IC2 subscription,"$7,998.00"
PRM-W-4Y,4-Year PrimeCare,For Balance 5000 EC - includes IC2 subscription,"$15,996.00"
PCP-W-1Y,1-Year PrimeCare+,"For Balance 5000 EC - includes IC2, 24/7 email ticket support, and AHR","$4,799.00"
PCP-W-2Y,2-Year PrimeCare+,"For Balance 5000 EC - includes IC2, 24/7 email ticket support, and AHR","$8,158.00"
PCP-W-4Y,4-Year PrimeCare+,"For Balance 5000 EC - includes IC2, 24/7 email ticket support, and AHR","$13,437.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
LIC-VWAN,Virtual WAN Activation License,Activate 1x Virtual WAN,$200.00
LIC-2VWAN,2x Virtual WAN Activation License,Activate 2x Virtual WAN,$400.00
LIC-3VWAN,3x Virtual WAN Activation License,Activate 3x Virtual WAN,$600.00
LIC-10VWAN-MD,10x Virtual WAN Activation License,Activate 10x Virtual WAN,"$2,000.00"
<Balance 2500 Licenses & Warranties (click the + to open),,,
Peplink B Series ,,,
B-ONE-T-PRM,B One,"Wi-Fi 6, Recommended for 1-150 users",$299.00
B-ONE-PLUS-LTE-US-T-PRM,B One Plus,"Single Cellular CAT-4 LTE Mobile Router, Wi-Fi 6, Recommended for 1-150 users",$399.00
B-ONE-5GN-T-PRM,B One 5G,"Single Cellular 5G Mobile Router, Wi-Fi 6, Recommended for 1-150 users",$599.00
PRM-A-1Y,1-Year PrimeCare,For B One and B One Plus - includes IC2 subscription,$49.00
PRM-A-2Y,2-Year PrimeCare,For B One and B One Plus - includes IC2 subscription,$98.00
PRM-A-4Y,4-Year PrimeCare,For B One and B One Plus - includes IC2 subscription,$196.00
PCP-A-1Y,1-Year PrimeCare+,"For B One and B One Plus - includes IC2, 24/7 email ticket support, and AHR",$59.00
PCP-A-2Y,2-Year PrimeCare+,"For B One and B One Plus - includes IC2, 24/7 email ticket support, and AHR",$100.00
PCP-A-4Y,4-Year PrimeCare+,"For B One and B One Plus - includes IC2, 24/7 email ticket support, and AHR",$165.00
PRM-B-1Y,1-Year PrimeCare,For B One 5G - includes IC2 subscription,$99.00
PRM-B-2Y,2-Year PrimeCare,For B One 5G - includes IC2 subscription,$198.00
PRM-B-4Y,4-Year PrimeCare,For B One 5G - includes IC2 subscription,$396.00
PCP-B-1Y,1-Year PrimeCare+,"For B One 5G -  includes IC2, 24/7 email ticket support, and AHR",$119.00
PCP-B-2Y,2-Year PrimeCare+,"For B One 5G - includes IC2, 24/7 email ticket support, and AHR",$202.00
PCP-B-4Y,4-Year PrimeCare+,"For B One 5G - includes IC2, 24/7 email ticket support, and AHR",$333.00
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<B One Licenses & Warranties (click the + to open),,,
MediaFast Caching Routers,,,
MFA-500-B,MediaFast 500,Caching Router for School or Campus,"$5,999.00"
MFA-500-LC-SF,SpeedFusion Bonding,SpeedFusion Bonding License Key for MFA-500,"$1,500.00"
MFA-500-LC-LB,Load Balancing,Load Balancing License Key for MFA-500,$700.00
ECP-MFA-500-1Y,1-Year EssentialCare+,"For MediaFast 500 - includes IC2, 24/7 email ticket support, and AHR","$1,499.00"
ECP-MFA-500-2Y,2-Year EssentialCare+,"For MediaFast 500 - includes IC2, 24/7 email ticket support, and AHR","$2,548.00"
ECP-MFA-500-4Y,4-Year EssentialCare+,"For MediaFast 500 - includes IC2, 24/7 email ticket support, and AHR","$4,197.00"
SVL-773,1-Year EssentialCare ,For MediaFast 500 - includes IC2 subscription,"$1,019.00"
SVL-673,2-Year EssentialCare ,For MediaFast 500 - includes IC2 subscription,"$1,979.00"
LIC-OPN-WAN,OpenVPN WAN License,Activate 1x OpenVPN WAN ,$20.00
LIC-2OPN-WAN,2x OpenVPN WAN License,Activate 2x OpenVPN WAN,$40.00
LIC-3OPN-WAN,3x OpenVPN WAN License,Activate 3x OpenVPN WAN,$60.00
<MediaFast 500 Licenses & Warranties (click the + to open),,,
MFA-750-B,MediaFast 750,Caching Router for School or Campus,"$7,999.00"
ECP-MFA-750-1Y,1-Year EssentialCare+,"For MediaFast 750 - includes IC2, 24/7 email ticket support, and AHR","$1,999.00"
